ORDEN,UN_ADMIN,REGION,UNIDAD TERRITORIAL,Robo_Violencia,Robo_Sorpresa,Robo_Fuerza,Robo_Vehiculo,Robo_Accesorios_V,Robo_Lugar_Habitado,Robo_Lugar_No_Habitado,Otros_Robos,Hurtos,Lesiones,Lesiones_Leves,Lesiones_Graves,Homicidio,Violación
1,REGION,99,PAÍS,65.707,36.412,209.225,29.776,61.586,62.346,49.576,5.941,172.319,75.248,60.001,15.247,495,2.812
2,REGION,15,Región de Arica y Parinacota,618,451,2.154,579,549,532,389,105,1.762,1.079,733,346,6,50
3,PROVINCIA,15,Provincia de Arica,618,451,2.144,578,547,529,385,105,1.742,1.070,726,344,6,49
4,COMUNA,15,Arica,618,451,2.135,578,546,524,382,105,1.735,1.063,720,343,6,47
5,COMUNA,15,Camarones,0,0,9,0,1,5,3,0,7,7,6,1,0,2
6,PROVINCIA,15,Provincia de Parinacota,0,0,10,1,2,3,4,0,20,9,7,2,0,1
7,COMUNA,15,Putre,0,0,8,1,2,2,3,0,16,6,5,1,0,0
8,COMUNA,15,General Lagos,0,0,2,0,0,1,1,0,4,3,2,1,0,1
9,REGION,1,Región de Tarapacá,1.554,1.499,5.380,1.339,1.773,1.287,822,159,3.935,1.869,1.523,346,9,51
10,PROVINCIA,1,Provincia de Iquique,1.528,1.484,5.118,1.303,1.753,1.181,733,148,3.743,1.742,1.415,327,9,45
11,COMUNA,1,Iquique,1.132,1.262,3.538,842,1.415,616,540,125,2.952,1.089,892,197,8,25
12,COMUNA,1,Alto Hospicio,396,222,1.580,461,338,565,193,23,791,653,523,130,1,20
13,PROVINCIA,1,Provincia de Tamarugal,26,15,262,36,20,106,89,11,192,127,108,19,0,6
14,COMUNA,1,Camiña,0,0,3,0,0,1,1,1,1,8,7,1,0,0
15,COMUNA,1,Colchane,1,1,15,4,1,7,1,2,1,7,6,1,0,0
16,COMUNA,1,Huara,2,0,27,3,1,8,14,1,27,17,16,1,0,1
17,COMUNA,1,Pica,1,3,26,3,4,5,14,0,20,25,16,9,0,2
18,COMUNA,1,Pozo Almonte,22,11,191,26,14,85,59,7,143,70,63,7,0,3
19,REGION,2,Región de Antofagasta,1.930,1.173,7.946,1.754,1.999,2.348,1.702,143,8.257,3.613,3.014,599,25,97
20,PROVINCIA,2,Provincia de Antofagasta,1.208,667,4.245,1.025,1.080,1.159,930,51,5.702,2.038,1.714,324,16,54
21,COMUNA,2,Antofagasta,1.150,646,3.842,987,1.010,1.024,778,43,5.445,1.823,1.528,295,13,50
22,COMUNA,2,Mejillones,35,15,155,24,21,54,55,1,113,109,93,16,2,4
23,COMUNA,2,Sierra Gorda,3,2,93,11,18,17,42,5,48,17,17,0,0,0
24,COMUNA,2,Taltal,20,4,155,3,31,64,55,2,96,89,76,13,1,0
25,PROVINCIA,2,Provincia de El Loa,656,462,3.214,695,872,1.000,602,45,2.265,1.341,1.104,237,8,30
26,COMUNA,2,Calama,652,458,3.108,686,840,965,577,40,2.156,1.278,1.047,231,8,28
27,COMUNA,2,Ollagüe,0,0,5,0,1,2,2,0,1,2,2,0,0,0
28,COMUNA,2,San Pedro de Atacama,4,4,101,9,31,33,23,5,108,61,55,6,0,2
29,PROVINCIA,2,Provincia de Tocopilla,66,44,487,34,47,189,170,47,290,234,196,38,1,13
30,COMUNA,2,Tocopilla,61,42,436,27,46,184,137,42,262,207,174,33,1,12
31,COMUNA,2,María Elena,5,2,51,7,1,5,33,5,28,27,22,5,0,1
32,REGION,3,Región de Atacama,832,379,3.930,355,792,1.299,1.346,138,2.953,1.598,1.253,345,7,40
33,PROVINCIA,3,Provincia de Copiapó,700,333,3.115,330,661,954,1.056,114,2.291,1.165,933,232,5,33
34,COMUNA,3,Copiapó,615,304,2.578,300,625,755,800,98,2.016,877,703,174,4,29
35,COMUNA,3,Caldera,67,21,310,23,24,124,125,14,206,168,136,32,0,3
36,COMUNA,3,Tierra Amarilla,18,8,227,7,12,75,131,2,69,120,94,26,1,1
37,PROVINCIA,3,Provincia de Chañaral,38,2,307,8,14,160,114,11,199,153,116,37,1,2
38,COMUNA,3,Chañaral,29,1,205,5,14,97,83,6,134,92,70,22,1,1
39,COMUNA,3,Diego de Almagro,9,1,102,3,0,63,31,5,65,61,46,15,0,1
40,PROVINCIA,3,Provincia de Huasco,94,44,508,17,117,185,176,13,463,280,204,76,1,5
41,COMUNA,3,Vallenar,77,37,388,12,107,129,129,11,400,209,146,63,1,3
42,COMUNA,3,Alto del Carmen,1,0,14,0,1,6,7,0,11,10,8,2,0,0
43,COMUNA,3,Freirina,0,3,39,1,4,12,21,1,15,17,13,4,0,1
44,COMUNA,3,Huasco,16,4,67,4,5,38,19,1,37,44,37,7,0,1
45,REGION,4,Región de Coquimbo,1.667,1.106,9.925,848,2.355,4.000,2.450,272,6.613,3.438,2.830,608,13,116
46,PROVINCIA,4,Provincia de Elqui,1.297,766,7.427,726,1.930,2.859,1.708,204,4.844,2.453,2.011,442,9,92
47,COMUNA,4,La Serena,529,384,3.546,442,873,1.254,859,118,2.720,965,800,165,1,43
48,COMUNA,4,Coquimbo,723,355,3.420,278,981,1.426,676,59,1.825,1.202,966,236,7,34
49,COMUNA,4,Andacollo,11,6,68,0,8,37,20,3,39,86,77,9,0,1
50,COMUNA,4,La Higuera,8,1,152,2,45,43,46,16,19,26,26,0,0,1
51,COMUNA,4,Paiguano,0,0,22,0,0,9,11,2,20,41,38,3,1,4
52,COMUNA,4,Vicuña,26,20,219,4,23,90,96,6,221,133,104,29,0,9
53,PROVINCIA,4,Provincia de Choapa,103,118,993,14,125,464,354,36,416,361,300,61,3,9
54,COMUNA,4,Illapel,30,70,368,6,26,153,175,8,149,93,71,22,0,4
55,COMUNA,4,Canela,6,0,76,0,15,28,16,17,12,21,18,3,0,1
56,COMUNA,4,Los Vilos,46,16,342,4,62,195,71,10,133,138,121,17,2,2
57,COMUNA,4,Salamanca,21,32,207,4,22,88,92,1,122,109,90,19,1,2
58,PROVINCIA,4,Provincia de Limarí,267,222,1.505,108,300,677,388,32,1.353,624,519,105,1,15
59,COMUNA,4,Ovalle,239,207,1.303,101,291,575,306,30,1.223,430,363,67,0,11
60,COMUNA,4,Combarbalá,5,3,24,0,2,12,10,0,42,48,37,11,0,0
61,COMUNA,4,Monte Patria,8,8,83,4,3,41,35,0,58,100,80,20,0,2
62,COMUNA,4,Punitaqui,13,4,71,3,3,40,24,1,22,41,35,6,1,2
63,COMUNA,4,Río Hurtado,2,0,24,0,1,9,13,1,8,5,4,1,0,0
64,REGION,5,Región de Valparaíso,5.777,4.537,24.695,2.994,6.062,9.657,5.580,402,19.537,8.607,6.955,1.652,44,263
65,PROVINCIA,5,Provincia de Valparaíso,3.409,2.986,12.101,1.893,3.803,3.866,2.326,213,10.514,4.027,3.222,805,23,124
66,COMUNA,5,Valparaíso,1.924,1.869,4.701,816,1.277,1.517,1.003,88,3.816,1.780,1.449,331,14,60
67,COMUNA,5,Casablanca,40,19,342,25,73,132,108,4,234,161,127,34,0,7
68,COMUNA,5,Concón,117,51,759,106,350,172,111,20,364,252,199,53,0,2
69,COMUNA,5,Juan Fernández,0,0,3,0,1,1,0,1,1,12,12,0,0,1
70,COMUNA,5,Puchuncaví,31,17,548,23,102,318,100,5,169,116,95,21,0,3
71,COMUNA,5,Quintero,91,44,663,34,138,353,117,21,239,294,230,64,2,5
72,COMUNA,5,Viña del Mar,1.206,986,5.085,889,1.862,1.373,887,74,5.691,1.412,1.110,302,7,46
73,PROVINCIA,5,Provincia de Isla de Pascua,4,2,57,5,8,27,14,3,126,102,86,16,0,4
74,COMUNA,5,Isla de Pascua,4,2,57,5,8,27,14,3,126,102,86,16,0,4
75,PROVINCIA,5,Provincia de Los Andes,227,140,1.264,72,381,403,360,48,1.317,495,411,84,4,12
76,COMUNA,5,Los Andes,192,128,977,53,339,292,248,45,1.113,346,287,59,2,10
77,COMUNA,5,Calle Larga,16,5,106,6,18,48,34,0,57,37,29,8,1,0
78,COMUNA,5,Rinconada,7,2,71,7,6,26,31,1,49,51,42,9,1,1
79,COMUNA,5,San Esteban,12,5,110,6,18,37,47,2,98,61,53,8,0,1
80,PROVINCIA,5,Provincia de Petorca,55,79,682,13,73,364,222,10,454,302,249,53,1,4
81,COMUNA,5,La Ligua,38,59,323,5,27,174,111,6,261,161,136,25,1,3
82,COMUNA,5,Cabildo,13,10,116,2,20,51,42,1,48,74,55,19,0,1
83,COMUNA,5,Papudo,0,6,71,1,9,42,18,1,51,15,13,2,0,0
84,COMUNA,5,Petorca,0,2,41,2,0,23,16,0,14,25,21,4,0,0
85,COMUNA,5,Zapallar,4,2,131,3,17,74,35,2,80,27,24,3,0,0
86,PROVINCIA,5,Provincia de Quillota,286,168,1.538,86,280,529,625,18,1.562,575,432,143,4,15
87,COMUNA,5,Quillota,123,78,702,55,150,236,252,9,780,270,221,49,2,9
88,COMUNA,5,La Calera,99,72,445,19,74,138,207,7,607,152,99,53,0,3
89,COMUNA,5,Hijuelas,19,2,106,5,28,27,45,1,66,46,34,12,2,0
90,COMUNA,5,La Cruz,22,12,162,4,15,66,76,1,46,45,33,12,0,0
91,COMUNA,5,Nogales,23,4,123,3,13,62,45,0,63,62,45,17,0,3
92,PROVINCIA,5,Provincia de San Antonio,487,281,3.499,244,506,2.134,575,40,1.538,1.105,900,205,5,32
93,COMUNA,5,San Antonio,263,205,1.077,169,232,357,301,18,830,544,446,98,1,16
94,COMUNA,5,Algarrobo,23,11,534,9,56,384,80,5,184,74,52,22,0,1
95,COMUNA,5,Cartagena,121,35,629,34,105,392,88,10,236,201,161,40,2,9
96,COMUNA,5,El Quisco,43,13,548,11,54,446,37,0,141,140,114,26,1,4
97,COMUNA,5,El Tabo,30,13,519,15,43,425,32,4,116,114,96,18,1,1
98,COMUNA,5,Santo Domingo,7,4,192,6,16,130,37,3,31,32,31,1,0,1
99,PROVINCIA,5,Provincia de San Felipe de Aconcagua,365,316,1.961,144,457,726,596,38,1.311,860,699,161,2,34
100,COMUNA,5,San Felipe,255,246,1.383,116,387,487,360,33,923,478,402,76,1,21
101,COMUNA,5,Catemu,19,13,77,2,5,30,40,0,58,67,43,24,0,1
102,COMUNA,5,Llaillay,61,32,230,7,33,108,80,2,155,155,121,34,1,6
103,COMUNA,5,Panquehue,4,8,47,4,5,12,26,0,50,30,24,6,0,3
104,COMUNA,5,Putaendo,11,5,103,4,12,48,36,3,70,61,51,10,0,0
105,COMUNA,5,Santa María,15,12,121,11,15,41,54,0,55,69,58,11,0,3
106,PROVINCIA,5,Provincia de Marga Marga,944,565,3.593,537,554,1.608,862,32,2.715,1.141,956,185,5,38
107,COMUNA,5,Quilpué,531,328,1.863,307,323,755,460,18,1.503,518,422,96,3,15
108,COMUNA,5,Villa Alemana,344,196,1.287,190,191,657,241,8,813,410,350,60,1,16
109,COMUNA,5,Limache,59,37,318,36,31,125,121,5,345,166,146,20,1,5
110,COMUNA,5,Olmué,10,4,125,4,9,71,40,1,54,47,38,9,0,2
111,REGION,6,Región del Lib. Bernardo O'Higgins,1.629,1.011,10.096,836,1.842,3.842,3.246,330,8.553,4.191,3.347,844,15,116
112,PROVINCIA,6,Provincia de Cachapoal,1.297,803,7.848,716,1.466,2.873,2.510,283,6.305,3.107,2.485,622,12,94
113,COMUNA,6,Rancagua,825,572,4.109,470,1.062,1.230,1.182,165,3.625,1.311,1.071,240,9,39
114,COMUNA,6,Codegua,18,1,221,9,12,106,91,3,45,72,55,17,0,4
115,COMUNA,6,Coinco,5,0,66,4,3,37,21,1,38,32,25,7,0,2
116,COMUNA,6,Coltauco,11,3,65,3,2,30,30,0,45,37,30,7,0,3
117,COMUNA,6,Doñihue,15,5,260,27,14,136,81,2,67,97,83,14,1,1
118,COMUNA,6,Graneros,70,27,298,35,41,133,83,6,283,189,144,45,0,4
119,COMUNA,6,Las Cabras,13,8,144,4,7,75,56,2,129,104,76,28,0,3
120,COMUNA,6,Machalí,54,15,531,38,64,256,153,20,194,164,121,43,0,4
121,COMUNA,6,Malloa,20,2,88,4,9,34,41,0,73,52,43,9,1,0
122,COMUNA,6,Mostazal,49,15,342,15,69,93,155,10,225,160,115,45,0,2
123,COMUNA,6,Olivar,13,6,159,11,21,64,61,2,72,80,68,12,0,4
124,COMUNA,6,Peumo,14,7,125,4,7,40,72,2,107,76,67,9,0,3
125,COMUNA,6,Pichidegua,9,3,46,1,2,12,26,5,60,61,51,10,0,1
126,COMUNA,6,Quinta de Tilcoco,16,7,71,3,4,37,25,2,79,45,35,10,0,5
127,COMUNA,6,Rengo,115,92,639,39,84,287,192,37,694,386,303,83,0,4
128,COMUNA,6,Requínoa,31,21,412,27,44,188,149,4,162,112,96,16,0,5
129,COMUNA,6,San Vicente,19,19,272,22,21,115,92,22,407,129,102,27,1,10
130,PROVINCIA,6,Provincia de Cardenal Caro,36,8,306,14,29,137,121,5,283,180,132,48,1,6
131,COMUNA,6,Pichilemu,25,6,157,7,22,79,44,5,219,107,72,35,0,3
132,COMUNA,6,La Estrella,2,0,16,0,0,5,11,0,12,4,3,1,0,0
133,COMUNA,6,Litueche,3,1,33,1,1,14,17,0,15,22,19,3,0,1
134,COMUNA,6,Marchigüe,4,0,30,3,0,7,20,0,15,14,12,2,0,2
135,COMUNA,6,Navidad,2,1,56,3,4,28,21,0,17,20,16,4,0,0
136,COMUNA,6,Paredones,0,0,14,0,2,4,8,0,5,13,10,3,1,0
137,PROVINCIA,6,Provincia de Colchagua,296,200,1.942,106,347,832,615,42,1.965,904,730,174,2,16
138,COMUNA,6,San Fernando,198,152,1.159,75,269,514,272,29,986,463,387,76,1,9
139,COMUNA,6,Chépica,3,2,29,1,2,7,19,0,49,43,37,6,0,0
140,COMUNA,6,Chimbarongo,30,18,222,5,34,89,90,4,140,102,78,24,1,0
141,COMUNA,6,Lolol,3,1,34,0,1,12,21,0,28,15,11,4,0,0
142,COMUNA,6,Nancagua,10,6,85,1,5,25,53,1,88,65,45,20,0,0
143,COMUNA,6,Palmilla,4,1,59,2,2,23,30,2,35,23,19,4,0,0
144,COMUNA,6,Peralillo,11,0,41,0,4,19,18,0,39,31,21,10,0,1
145,COMUNA,6,Placilla,2,1,46,1,1,24,20,0,44,25,16,9,0,1
146,COMUNA,6,Pumanque,0,0,16,0,1,7,8,0,7,9,7,2,0,2
147,COMUNA,6,Santa Cruz,35,19,251,21,28,112,84,6,549,128,109,19,0,3
148,REGION,7,Región del Maule,1.410,1.118,9.130,494,1.465,3.696,3.091,384,10.072,3.878,3.097,781,27,119
149,PROVINCIA,7,Provincia de Talca,722,609,4.043,261,716,1.580,1.292,194,4.625,1.664,1.333,331,13,49
150,COMUNA,7,Talca,627,565,2.883,228,590,1.083,826,156,3.775,1.026,839,187,7,26
151,COMUNA,7,Constitución,26,15,326,10,38,101,166,11,381,238,190,48,2,9
152,COMUNA,7,Curepto,5,0,33,0,4,13,15,1,21,43,31,12,0,1
153,COMUNA,7,Empedrado,3,1,20,1,1,7,9,2,35,17,17,0,0,0
154,COMUNA,7,Maule,31,11,394,16,55,223,99,1,176,132,101,31,2,4
155,COMUNA,7,Pelarco,1,2,44,0,2,20,17,5,27,23,14,9,0,1
156,COMUNA,7,Pencahue,2,1,42,1,4,13,22,2,21,26,19,7,0,3
157,COMUNA,7,Río Claro,2,2,95,1,2,47,40,5,27,31,28,3,1,0
158,COMUNA,7,San Clemente,18,9,118,1,8,34,67,8,97,96,65,31,1,5
159,COMUNA,7,San Rafael,7,3,88,3,12,39,31,3,65,32,29,3,0,0
160,PROVINCIA,7,Provincia de Cauquenes,42,23,300,15,14,145,112,14,351,196,148,48,2,9
161,COMUNA,7,Cauquenes,34,19,201,13,10,93,74,11,243,128,96,32,2,7
162,COMUNA,7,Chanco,2,1,45,2,3,19,18,3,48,26,20,6,0,2
163,COMUNA,7,Pelluhue,6,3,54,0,1,33,20,0,60,42,32,10,0,0
164,PROVINCIA,7,Provincia de Curicó,390,284,2.544,113,438,970,955,68,2.997,956,773,183,8,25
165,COMUNA,7,Curicó,262,247,1.746,70,369,666,586,55,2.207,550,456,94,5,11
166,COMUNA,7,Hualañé,4,2,25,0,0,4,20,1,9,15,15,0,1,1
167,COMUNA,7,Licantén,4,3,37,0,5,18,14,0,47,33,27,6,0,1
168,COMUNA,7,Molina,63,23,312,17,35,121,129,10,453,187,142,45,2,5
169,COMUNA,7,Rauco,10,1,65,2,2,35,26,0,26,22,14,8,0,1
170,COMUNA,7,Romeral,11,5,93,6,7,30,50,0,71,40,34,6,0,3
171,COMUNA,7,Sagrada Familia,11,0,67,3,6,23,35,0,67,37,30,7,0,2
172,COMUNA,7,Teno,24,3,174,13,12,63,84,2,101,63,50,13,0,1
173,COMUNA,7,Vichuquén,1,0,25,2,2,10,11,0,16,9,5,4,0,0
174,PROVINCIA,7,Provincia de Linares,256,202,2.243,105,297,1.001,732,108,2.099,1.062,843,219,4,36
175,COMUNA,7,Linares,133,153,1.063,41,173,489,305,55,1.122,322,270,52,0,7
176,COMUNA,7,Colbún,14,4,112,1,4,59,46,2,74,58,47,11,0,3
177,COMUNA,7,Longaví,15,4,115,4,16,50,42,3,124,111,85,26,1,7
178,COMUNA,7,Parral,45,23,321,27,46,120,114,14,272,190,137,53,1,8
179,COMUNA,7,Retiro,4,2,103,4,7,42,45,5,27,51,39,12,0,1
180,COMUNA,7,San Javier,34,16,351,20,33,171,114,13,341,203,161,42,1,7
181,COMUNA,7,Villa Alegre,6,0,81,4,9,35,25,8,64,66,53,13,1,1
182,COMUNA,7,Yerbas Buenas,5,0,97,4,9,35,41,8,75,61,51,10,0,2
183,REGION,8,Región del Biobío,5.541,3.507,21.005,2.727,4.376,7.339,6.009,554,19.024,7.934,6.102,1.832,64,303
184,PROVINCIA,8,Provincia de Concepción,4.098,2.136,11.559,1.997,2.659,3.492,3.146,265,10.496,4.091,3.126,965,39,137
185,COMUNA,8,Concepción,1.708,1.124,4.172,760,1.256,926,1.096,134,5.419,1.086,855,231,11,61
186,COMUNA,8,Coronel,393,169,1.278,201,84,549,425,19,755,525,360,165,8,10
187,COMUNA,8,Chiguayante,204,101,552,61,116,263,109,3,391,304,239,65,0,7
188,COMUNA,8,Florida,9,1,130,10,4,72,44,0,73,37,34,3,0,1
189,COMUNA,8,Hualqui,38,24,196,17,16,91,70,2,130,105,86,19,1,6
190,COMUNA,8,Lota,194,99,521,33,29,198,245,16,239,246,190,56,2,11
191,COMUNA,8,Penco,132,69,345,68,65,86,120,6,237,219,174,45,0,5
192,COMUNA,8,San Pedro de La Paz,383,185,1.312,222,340,480,245,25,527,454,318,136,8,9
193,COMUNA,8,Santa Juana,15,4,152,7,3,94,47,1,86,63,51,12,1,2
194,COMUNA,8,Talcahuano,548,212,1.558,271,446,382,428,31,1.560,563,432,131,4,13
195,COMUNA,8,Tomé,90,23,351,49,25,115,158,4,338,234,186,48,2,7
196,COMUNA,8,Hualpén,384,125,992,298,275,236,159,24,741,255,201,54,2,5
197,PROVINCIA,8,Provincia de Arauco,203,235,1.275,40,98,641,479,17,1.140,794,616,178,6,28
198,COMUNA,8,Lebu,16,29,109,4,11,62,28,4,162,143,122,21,0,3
199,COMUNA,8,Arauco,40,32,353,5,24,161,159,4,312,136,106,30,1,8
200,COMUNA,8,Cañete,53,87,304,18,32,144,105,5,252,189,145,44,1,7
201,COMUNA,8,Contulmo,5,2,38,3,0,22,13,0,43,31,23,8,2,1
202,COMUNA,8,Curanilahue,61,59,316,7,23,179,106,1,211,143,108,35,2,2
203,COMUNA,8,Los Álamos,21,17,105,3,8,42,51,1,103,110,83,27,0,5
204,COMUNA,8,Tirúa,7,9,50,0,0,31,17,2,57,42,29,13,0,2
205,PROVINCIA,8,Provincia de Biobío,635,623,4.121,375,918,1.521,1.193,114,3.744,1.416,1.110,306,8,67
