s2_cellid,men,women
10836387463459504128,40170579.74129467,37359378.9490862
10836387497819242496,337570900.31523305,313947154.06849486
10836387532178980864,109468201.75002491,101807443.61650568
10836426015085953024,8672921.796799941,10326866.08632251
10836426461762551808,792169409.9312863,963680473.1639155
10836426496122290176,678899977.2706182,844079114.6076566
10836426530482028544,350055877.99427843,427113506.24846256
10836426599201505280,261787164.116016,247051066.69259787
10836426667920982016,101072305.04371811,86750318.4990617
10836426702280720384,149711730.88914108,128497518.010113
10836426771000197120,428030342.0600895,404188791.24038047
10836433746027085824,369282819.88542235,372910264.28863204
10836433952185516032,2138065753.7607172,2236652397.4671974
10836433986545254400,833459752.4823569,873555906.2284207
10836434020904992768,1483805163.5880032,1543004301.3015754
10836434055264731136,2183772318.549429,2285688058.625036
10836434089624469504,2195156702.526739,2302925047.6642118
10836434123984207872,1832332186.256541,1916173637.4030185
10836434158343946240,883940632.6594877,928960657.5708765
10836434192703684608,2081415214.1245866,2196980268.488106
10836434227063422976,1197025943.7623665,1265089223.6301894
10836434330142638080,112907849.3869506,119327825.98991689
10836434501941329920,133869495.26859233,126418502.95308626
10836435051697143808,312750974.4931504,328088000.41262895
10836435086056882176,37994275.55451514,39857480.58502152
10836435120416620544,1247170475.8427846,1288310983.44272
10836435154776358912,848183482.1929613,891694094.1421369
10836435292215312384,22377031.10406169,23649396.284267914
10836435326575050752,495947.17218872113,524146.8877890687
10836435360934789120,401611135.40755504,451695377.74811375
10836435395294527488,1307948259.4866018,1433575978.9585135
10836435464014004224,71952620.92596057,61756905.4101362
10836435498373742592,343419431.50374055,300939927.84377635
10836435532733480960,1232803248.7800715,1376932092.337785
10836435567093219328,641131309.9731792,707543944.4737183
10836435601452957696,2287024619.164701,2505374963.1582284
10836435635812696064,2074430778.9042387,2306707645.9370728
10836435670172434432,1998847859.7559967,2193290776.0693784
10836435704532172800,2073523386.2819457,2157001028.571518
10836435738891911168,2191165623.1849966,2134982267.3043742
10836435773251649536,2205678178.1289773,2334772187.192048
10836435807611387904,1517310697.3267946,1606434065.6137972
10836435841971126272,2105063311.1369734,2050536253.9189882
10836435876330864640,1344496557.1401536,1339455745.3027437
10836435910690603008,2519244184.3844233,2660839921.7006373
10836435945050341376,1871836313.2593591,1941517067.2759693
10836435979410079744,2123639622.8782575,2060704710.3506331
10836436013769818112,3101255896.1082172,3382936673.991524
10836436048129556480,2079666214.819881,2197530626.775193
10836436082489294848,1837500276.1416972,2013462792.3952289
10836436116849033216,2951312926.0490427,3269331743.0958247
10836436151208771584,1809274958.3611732,1901490402.1893172
10836436185568509952,1755251141.5563505,1829476169.761931
10836436219928248320,1381115704.629589,1467512712.1776586
10836436254287986688,1658730924.074254,1788829511.009312
10836436288647725056,1883184677.4472609,2041753723.1807823
10836436323007463424,1986497370.7039719,2221499600.705587
10836436357367201792,1394494476.514409,1541653849.9516578
10836436391726940160,1686251627.073542,1846590039.726297
10836436426086678528,2192424182.480143,2374324865.69381
10836436460446416896,1039013118.1285045,1120349598.6223636
10836436494806155264,268756422.86972576,280006691.7340399
10836436529165893632,569566465.6544455,593408782.8213757
10836436563525632000,571748016.0695778,600280380.5293285
10836436666604847104,5840726.827722424,6085222.369348014
10836437113281445888,989295268.5280364,1063195688.9333781
10836437147641184256,2306798007.197183,2486920063.1960883
10836437182000922624,2163346087.1836596,2300615276.3639355
10836437216360660992,735116380.9384181,793771340.2837527
10836437250720399360,93538494.73371165,106602758.71775614
10836437285080137728,1935246662.0068645,2187361321.865464
10836437319439876096,281690295.69531703,310752111.4556704
10836437731756736512,2187429852.1158404,2409130955.3935966
10836437766116474880,319992831.1633328,346652585.1857928
10836437800476213248,1839343371.0714493,2120250252.9545338
10836437834835951616,2034933321.9799607,2310195801.4882803
10836437869195689984,1708317244.0209832,1872764989.267519
10836437903555428352,2122508497.9238775,2349004315.3964252
10836437937915166720,586463053.4780526,673969407.9096816
10836437972274905088,86355628.6916986,101951737.20261574
10836438075354120192,1555191304.3238745,1747556175.5757885
10836438109713858560,2066933340.3951137,2341696981.280156
10836438144073596928,1787840606.7159877,2078040293.5252538
10836438178433335296,1614672339.7690353,1798866159.2536752
10836438212793073664,2116547364.629263,2392792571.291203
10836438247152812032,1709737535.4946918,1910655239.4449813
10836438281512550400,2050154185.3984296,2354899104.390031
10836438315872288768,1951097557.5178869,2265584317.695004
10836438350232027136,2102049187.1881547,2414424121.8459325
10836438384591765504,2104375784.8113127,2287506165.869876
10836438418951503872,2130492531.274517,2232450736.9560356
10836438453311242240,1640463322.437103,1871453864.684254
10836438487670980608,1736765158.2255023,1987139621.1934097
10836438522030718976,1759634269.5181122,2061929264.529439
10836438556390457344,1750288770.7836254,1934404503.593837
10836438590750195712,1687417635.7717583,1893511332.6151412
10836438625109934080,1318675155.290979,1472949568.4114604
10836438659469672448,1545875328.6206787,1594510520.5198553
10836438693829410816,1578535526.8052003,1679136101.4366026
10836438728189149184,1439256712.1204078,1581157453.8778048
10836438762548887552,1702949293.2875192,1901421241.7955136
10836438796908625920,1807265189.8796763,2035448925.8503544
10836438831268364288,1551574779.0020795,1738698955.8845875
10836438865628102656,1461757318.0633216,1568810155.9815972
10836438899987841024,1701743536.923825,1825313201.2262702
10836438934347579392,1581644432.4608734,1676535057.0687628
10836438968707317760,1387639095.4989185,1502079958.7428627
10836439003067056128,2160865295.264903,2233995992.4190807
10836439037426794496,2145159816.4018586,2255158321.7782125
10836439071786532864,1849704773.546924,1972931451.090174
10836439106146271232,1778846652.941453,1852325322.6261857
10836439140506009600,1733184297.0723329,1787060704.53461
10836439174865747968,2298217330.5050726,2484595338.894927
10836439209225486336,2405864199.221705,2533119318.7045503
10836439243585224704,1768431571.826415,1939532872.600033
10836439277944963072,1685525164.6639905,1839426152.6914392
10836439312304701440,1485646502.1722794,1545199547.224288
10836439346664439808,1345736015.7920303,1457827271.8001459
10836439381024178176,1132028660.8119802,1281639260.831555
10836439415383916544,1239298006.6021888,1375209048.5145147
10836439449743654912,1623520416.3890333,1772145861.6829395
10836439484103393280,1976250815.4917667,2070404703.5456076
10836439518463131648,1793792603.964659,1848967307.1192482
10836439552822870016,1293060112.1544757,1320933076.5400777
10836439587182608384,2069574613.0610058,2180428753.417553
10836439621542346752,2199622708.684393,2387497565.657175
10836439655902085120,1762625166.5918362,1821537596.244317
10836439690261823488,1615952747.2468553,1819269201.469299
10836439724621561856,1288601762.075484,1479833499.5240393
10836439758981300224,1948764770.8717303,2062078005.5225816
10836439793341038592,1933611973.4147234,2020046169.7184103
10836439827700776960,2120104002.0569706,2340594005.666134
10836439862060515328,1992836796.0071535,2183484538.527304
10836439896420253696,2460418982.3492813,2475238300.221814
10836439930779992064,1855173754.517334,1810179014.211062
10836439965139730432,1949988059.8296535,2062175988.7100456
10836439999499468800,1781705215.3187075,1786090882.0417662
10836440033859207168,2104521880.885542,2140741749.0763125
10836440068218945536,2102888744.2930083,2175886698.884179
10836440102578683904,1503756383.1460814,1658765694.82201
10836440136938422272,2063294365.3847866,2066728267.6032212
10836440171298160640,1548176006.8380327,1408714240.279554
10836440205657899008,2117436801.1280808,1996845203.0462449
10836440240017637376,1731721238.080424,1618848714.8563433
10836440274377375744,1649777557.7028103,1647121008.5340118
10836440308737114112,1740067373.01748,1741713773.1960177
10836440343096852480,2627126690.9762435,2251540878.950458
10836440377456590848,5102912884.988188,1414065718.654631
10836440411816329216,3786255434.541784,1413053056.097536
10836440446176067584,1736669550.2584772,1969491399.6212888
10836440480535805952,2068815605.2329564,2417587023.781769
10836440514895544320,2697525085.588419,1940200299.6275125
10836440549255282688,1556914533.8618019,1561046089.602943
10836440583615021056,1652712332.5862098,1888339045.3956113
10836440617974759424,1576500415.037949,1700947586.6593237
10836440652334497792,2067180685.6950116,2130182526.9305186
10836440686694236160,2131215082.8300853,2273026946.9555426
10836440721053974528,2365393561.6718163,2380390705.1427755
10836440755413712896,1513873556.8427,1590091154.0615141
10836440789773451264,1500663664.3247201,1696097898.6250846
10836440824133189632,1021721568.8472486,1190192813.438995
10836440858492928000,1265119726.2344458,1490065798.2066047
10836440892852666368,1496888179.9966946,1520327773.7037897
10836440927212404736,1147690036.817338,1175261974.0570052
10836440961572143104,1218693116.9891806,1160002483.4302323
10836440995931881472,1475987432.6380022,1554695073.2889805
10836441030291619840,1827713883.8966572,1934751227.9388523
10836441064651358208,1899023665.8479834,1847789938.2479622
10836441099011096576,1860002923.6789513,1877047250.5204918
10836441133370834944,2447724991.2621217,2645535616.971763
10836441167730573312,2235281184.7033925,2368422466.0893784
10836441202090311680,1321637974.063112,1341600466.9215739
10836441236450050048,1419802291.6410959,1486271001.4824104
10836441270809788416,2041209915.1153867,2127372796.5865922
10836441305169526784,1805802170.909735,1830817256.5953023
10836441339529265152,1912841181.432869,1940200844.7695942
10836441373889003520,1875684853.655596,1948826600.1881928
10836441408248741888,1433984087.2564638,1575106078.6989162
10836441442608480256,1945858029.6157846,2053356007.3965473
10836441476968218624,2287560805.231253,2345798880.793875
10836441511327956992,1357161676.2655878,1413292433.8839972
10836441545687695360,746195124.4252039,774006522.2491368
10836441580047433728,1136690017.6438308,1191189174.9059927
10836441614407172096,2500015241.881419,2652601326.393282
10836441648766910464,1598284758.593436,1756521684.5155373
10836441683126648832,896274273.544387,996212820.8599558
10836441717486387200,2245823636.2676444,2564732821.575222
10836441751846125568,1590951112.31074,1720754191.858142
10836441786205863936,1511806405.403891,1638692901.2325711
10836441820565602304,1828344185.3089316,1990942885.1801054
10836441854925340672,2065564342.3582132,2263611342.9551234
10836441889285079040,1550583339.6174312,1726375906.9847724
10836441923644817408,1804918677.2505906,1879328002.9208586
10836441958004555776,1966410358.4285965,2072845701.2000983
10836441992364294144,1060383677.85984,1109455247.3178923
10836442026724032512,907189224.7159581,917250107.4979453
10836442061083770880,1596699618.5687869,1689793544.7750778
10836442095443509248,1592973786.0520947,1723008508.3429174
10836442129803247616,1433918649.8647375,1459706167.3446054
10836442164162985984,1592979077.2583861,1654999554.5834544
10836442198522724352,1279899150.1816392,1354166001.0097032
10836442232882462720,1332047213.6253972,1437260778.1276119
10836442267242201088,1673198853.2164462,1785501296.992017
10836442301601939456,1337854231.2559972,1444876431.6689653
10836442335961677824,1628167167.1287954,1801577582.8740237
10836442370321416192,977821901.4353547,1043985105.8923243
10836442404681154560,1635423402.3516176,1768629005.8181105
10836442439040892928,1932997985.1649542,2120990956.2367837
10836442473400631296,2233239459.9374657,2473316991.0637193
10836442507760369664,2195985597.8687277,2504906020.529576
10836442542120108032,1082858688.448438,1219770588.0710871
10836442576479846400,1586694962.2344666,1811842354.2005782
10836442610839584768,536032672.98022383,511398938.66775405
10836442645199323136,2360825885.6139317,2547068528.140733
10836442679559061504,772567599.0942738,787339125.7184807
10836442713918799872,327491547.4436431,281085862.58320785
10836442748278538240,327567226.9255625,281150818.2518998
10836442782638276608,327564188.41812426,281148210.3021957
10836442816998014976,327639854.7075141,281213154.6477449
10836442851357753344,327336222.8164126,280952547.5185404
10836442885717491712,158301267.8741981,135869914.1268421
10836442920077230080,281742921.49056923,241819835.44939545
10836442954436968448,287354615.41163033,324084568.9654283
10836442988796706816,53012934.18387654,63079046.12031527
10836443023156445184,837478.8305583432,997187.7916040993
10836443057516183552,827070464.5629205,984794528.4881074
10836443091875921920,8198022.161484163,9761402.099300403
10836443126235660288,367255389.4775534,416340547.26198834
10836443160595398656,1777857468.3536115,2012109345.8325071
10836443194955137024,2475428025.5917287,2826527202.7432966
10836443229314875392,543255452.4239467,607497404.6102484
10836443435473305600,106740631.346012,127096292.54197823
10836443469833043968,165185194.94533184,196686356.41023856
10836443504192782336,370749267.7202968,441451926.934509
10836443538552520704,39588606.703229494,47138236.63430077
10836443744710950912,120947738.79391363,159049772.11338353
10836443779070689280,934274697.0364146,1187032048.1859848
10836443882149904384,291275539.32228327,360082129.2090829
10836444157027811328,17546620.845483065,22809625.195331372
10836444191387549696,81132911.20303454,102097595.36546487
10836444225747288064,88367121.2361948,89783659.76926833
10836444260107026432,1722536359.0685527,1827455358.1905823
10836444294466764800,1597691725.0333228,1712303666.6660416
10836444328826503168,1406185488.8172576,1633436449.6492748
10836444363186241536,863331664.5705577,1051804223.291919
10836444397545979904,2367342905.4275727,3077413301.235731
10836444431905718272,1413751256.3893695,1847930625.99036
10836444466265456640,1300871855.014884,1747125959.95215
10836444500625195008,2360714616.4774504,3070008950.526094
10836444534984933376,2332629613.2701735,3038719613.0328865
10836444569344671744,2281432662.6841326,2965734793.181444
10836444603704410112,1020201723.6571856,1326205150.5627544
10836444638064148480,1450989376.7265747,1887594016.1019316
10836444672423886848,361713977.94237137,469498447.56405044
10836444706783625216,873880335.3692261,1073215243.1795787
10836444741143363584,1541723356.5324066,2021167296.486698
10836444775503101952,2185347214.3450174,2864944805.037474
10836444809862840320,2216678666.5065546,2906788958.7389183
10836444844222578688,1428360917.5772762,1963033239.6616704
10836444878582317056,1460523062.458969,1903153792.8214161
10836444912942055424,2209171498.6362104,2896829625.611974
10836444947301793792,2127359935.1928923,2799670875.2805934
10836444981661532160,1515172139.9460497,1923710882.647657
10836445016021270528,1611217255.2106242,2037041891.832665
10836445050381008896,1952400042.2461112,2598551682.9454374
10836445084740747264,2098205714.3370895,2720803910.876839
10836445119100485632,1937783408.7036347,2450902546.68371
10836445153460224000,2062179421.4294631,2515835754.7887697
10836445187819962368,2657480303.808684,3393092058.7282944
10836445222179700736,2299197345.776187,2971551675.9135394
10836445256539439104,1587818184.5364716,2107042207.9934998
10836445290899177472,2687754279.0919743,3448694799.8541007
10836445325258915840,2572295445.0715666,3226313669.294697
10836445359618654208,2241615684.6861506,2756409449.1253114
10836445393978392576,1488633160.7750022,1840285660.067104
10836445428338130944,1611427854.0555403,1998375781.614177
10836445462697869312,1910104265.0729308,2423167481.98791
10836445497057607680,1362541069.6698313,1786291584.8268523
10836445531417346048,1413588803.2425447,1847168615.690268
10836445565777084416,175285502.99004403,230505502.48690763
10836445600136822784,14490592.601925362,19055548.074786242
10836445668856299520,1185403224.8781548,1550464480.0583963
10836445703216037888,22121149.679897536,29213927.566466585
10836445909374468096,1032333222.8438876,1339698565.491785
10836445943734206464,1569134328.1266963,2035617876.2999487
10836445978093944832,1986946444.729001,2471143917.7521753
10836446012453683200,409911096.67731947,510536862.87973374
10836446046813421568,23129358.689711723,28721071.77953214
10836446081173159936,901501588.2971901,1083063358.6167722
10836446115532898304,409497541.0663352,443996468.3575556
10836446837087404032,573267679.6291205,621563744.9642917
10836446871447142400,2145393309.6325552,2326136196.652955
10836446905806880768,2232475943.136939,2420555278.219451
10836446940166619136,1546491470.6973948,1676778692.1179485
10836446974526357504,1144979854.7494774,1241440938.8772464
10836447111965310976,138221266.28808415,149865989.24137917
10836447215044526080,963984.2312321503,1045196.9823919276
10836447249404264448,571477635.5168861,619622895.0584126
10836447283764002816,1429303735.6471865,1549718245.4016523
10836447318123741184,84169322.4702825,91260332.9034396
10836447352483479552,1629294438.295363,1767507037.6766756
10836447386843217920,789533566.4958135,856534701.9659665
10836447421202956288,923474408.1287733,1134414926.893045
10836447455562694656,2126306041.1256423,2611645934.8396506
10836447489922433024,2045165465.2823093,2253344241.495319
10836447524282171392,2040367403.8990216,2238700749.7504787
10836447558641909760,2208971790.2106047,2419200686.37562
10836447593001648128,1681838419.3853078,1840738137.0219774
10836447627361386496,1954378325.0646179,2302321120.1883435
10836447661721124864,1982097019.752261,2236071432.526023
10836447696080863232,2078856611.3444262,2409763075.3743796
10836447730440601600,1915019022.3833241,2366471606.0595264
10836447764800339968,1600258053.757894,2039670979.9631648
10836447799160078336,1533507645.5368974,1963949379.8781013
10836447833519816704,1689639614.4914734,2140537589.0319502
10836447867879555072,2066942796.8855002,2346572012.4973154
10836447902239293440,2221132158.4901066,2802782939.743807
10836447936599031808,2094528630.0832553,2717025001.7120676
10836447970958770176,1602504376.0499623,2057523104.9309533
10836448005318508544,2386194168.4964924,2825972885.73632
10836448039678246912,2460905577.346125,2897142429.0281296
10836448074037985280,1843261807.0156353,2169710075.529328
10836448108397723648,1999914605.550142,2391086173.5256796
10836448142757462016,2285134516.5856667,2851581477.26019
10836448177117200384,2004586236.7097733,2463368734.1438227
10836448211476938752,2607422807.2164288,3179208624.0145607
10836448245836677120,1040462904.2355897,1268544307.6101286
10836448280196415488,115018615.09311864,140470272.833764
10836448348915892224,1979749.9414360928,2379081.894143636
10836448383275630592,80948679.20453995,97276697.9402783
10836448417635368960,1991632674.738612,2389305761.6703095
10836448451995107328,1822089518.1544366,2194506416.5505548
10836448486354845696,77634918.53568964,93305288.36512652
10836448623793799168,263064033.13387004,285226380.99165714
10836448658153537536,1028565025.4136709,1115218512.8403275
10836448692513275904,336653567.9975995,365015611.23340416
10836449688945688576,4984836.324636478,5247196.131196292
10836449895104118784,239980368.09078315,252610913.77977175
10836449963823595520,1950405695.193974,2418591234.197383
10836449998183333888,1595469075.3465486,1900463395.7480688
10836450032543072256,1310568063.0930564,1513439352.5732577
10836450066902810624,269694835.5440095,283889300.57264155
10836450101262548992,380676139.9605644,410519679.1496633
10836450135622287360,1271810218.1153991,1381379324.1575987
10836450169982025728,1853538826.0373132,1986788420.340364
10836450204341764096,1791595235.5530941,1939547435.197612
10836450238701502464,2128981976.315796,2445188875.348715
10836450273061240832,1663224264.2112288,1819683003.2057788
10836450307420979200,1724236861.9911087,1896529213.5160148
10836450341780717568,2412972682.8700867,2510760179.657358
10836450376140455936,1452648635.4595304,1708056441.2989419
10836450410500194304,1539340935.0727422,1827796732.830298
10836450444859932672,1305062589.655918,1588090494.9525461
10836450479219671040,1245567590.3262346,1551874413.9367054
10836450513579409408,1702397844.7512891,2136524588.9254608
10836450547939147776,1345959221.9886892,1682776753.8591723
10836450582298886144,1488950579.920584,1812346127.2492428
10836450616658624512,1658271255.115383,2035189986.3255472
10836450651018362880,1724413518.087595,1958788329.2117286
10836450685378101248,2376190556.5397606,2934991085.459742
10836450719737839616,2177524315.2052765,2635933388.5209618
10836450754097577984,1731400333.2025552,2207700855.007901
10836450788457316352,1815502918.0646029,2180447392.8612328
10836450822817054720,2075470895.5901582,2413410763.3004627
10836450857176793088,1950572403.5149615,2288562354.095948
10836450891536531456,2006387233.4364932,2638240025.694042
10836450925896269824,1704252979.8485835,2103513738.2190738
10836450960256008192,1744685847.2969334,2172523734.315794
10836450994615746560,1428343760.7457623,1720381937.2600465
10836451028975484928,1418640609.0680308,1723016346.5606468
10836451063335223296,1531895031.8091552,1801020594.1201038
10836451097694961664,1449143708.6962655,1724797172.0210469
10836451132054700032,1666720787.1561098,2140729527.7871282
10836451166414438400,1612115738.6377378,2067817609.713274
10836451200774176768,1675354898.3179245,2221668794.150782
10836451235133915136,1921746839.041336,2446065330.2945027
10836451269493653504,1576002177.7270248,2018040024.9956584
10836451303853391872,1673560157.1570055,2032728153.1502028
10836451338213130240,1429751376.3343246,1727816238.8128858
10836451372572868608,1567089112.8503702,1948915890.6249952
10836451406932606976,1717421581.8252468,1720287904.340601
10836451441292345344,1567389825.886466,2007451736.4765103
10836451475652083712,1248518070.7699583,1645727286.5097163
10836451510011822080,1213416813.3419943,1410162014.7987494
10836451544371560448,1045439522.3693777,1181650923.988182
10836451578731298816,654776746.4664972,810130911.6382067
10836451613091037184,1499688724.569408,1575896025.7421124
10836451647450775552,1353392185.1199446,1505836221.0626512
10836451681810513920,1091427044.400032,1244791780.6486087
10836451716170252288,1207836974.8230488,1417122217.4457278
10836451750529990656,1483289332.7678664,1845901944.1543856
10836451784889729024,1421523507.4947343,1692537393.6516232
10836451819249467392,1538926449.9407916,1760599605.1509137
10836451853609205760,1528360631.336352,1887535582.8961194
10836451887968944128,1464080813.5085492,1877405427.2822604
10836451922328682496,1531215128.5113006,1904397011.1783469
10836451956688420864,1970577894.9643264,2480230271.6376724
10836451991048159232,1697757040.5624511,2114773287.199423
